address,area,availabilityDate,baths,beds,brokerName,buildingId,buildingName,canSaveBuilding,detailUrl,has3DModel,hasAdditionalAttributions,hasImage,hasVideo,hdpData/homeInfo/bathrooms,hdpData/homeInfo/bedrooms,hdpData/homeInfo/city,hdpData/homeInfo/country,hdpData/homeInfo/currency,hdpData/homeInfo/datePriceChanged,hdpData/homeInfo/daysOnZillow,hdpData/homeInfo/homeStatus,hdpData/homeInfo/homeStatusForHDP,hdpData/homeInfo/homeType,hdpData/homeInfo/isFeatured,hdpData/homeInfo/isNonOwnerOccupied,hdpData/homeInfo/isPreforeclosureAuction,hdpData/homeInfo/isPremierBuilder,hdpData/homeInfo/isRentalWithBasePrice,hdpData/homeInfo/isShowcaseListing,hdpData/homeInfo/isUnmappable,hdpData/homeInfo/isZillowOwned,hdpData/homeInfo/latitude,hdpData/homeInfo/listing_sub_type/is_FSBA,hdpData/homeInfo/listing_sub_type/is_FSBO,hdpData/homeInfo/listing_sub_type/is_bankOwned,hdpData/homeInfo/listing_sub_type/is_comingSoon,hdpData/homeInfo/listing_sub_type/is_forAuction,hdpData/homeInfo/listing_sub_type/is_foreclosure,hdpData/homeInfo/listing_sub_type/is_newHome,hdpData/homeInfo/listing_sub_type/is_openHouse,hdpData/homeInfo/livingArea,hdpData/homeInfo/longitude,hdpData/homeInfo/lotAreaUnit,hdpData/homeInfo/lotAreaValue,hdpData/homeInfo/newConstructionType,hdpData/homeInfo/openHouse,hdpData/homeInfo/open_house_info/open_house_showing/0/open_house_end,hdpData/homeInfo/open_house_info/open_house_showing/0/open_house_start,hdpData/homeInfo/open_house_info/open_house_showing/1/open_house_end,hdpData/homeInfo/open_house_info/open_house_showing/1/open_house_start,hdpData/homeInfo/price,hdpData/homeInfo/priceChange,hdpData/homeInfo/priceForHDP,hdpData/homeInfo/priceReduction,hdpData/homeInfo/rentZestimate,hdpData/homeInfo/shouldHighlight,hdpData/homeInfo/state,hdpData/homeInfo/streetAddress,hdpData/homeInfo/taxAssessedValue,hdpData/homeInfo/timeOnZillow,hdpData/homeInfo/unit,hdpData/homeInfo/videoCount,hdpData/homeInfo/zestimate,hdpData/homeInfo/zipcode,hdpData/homeInfo/zpid,imgSrc,info3String,isBuilding,isFavorite,isFeaturedListing,isHomeRec,isNewYorkState,isShowcaseListing,isUserClaimingOwner,isUserConfirmedClaim,latLong/latitude,latLong/longitude,listingType,lotAreaString,lotId,marketingStatusSimplifiedCd,minArea,minBaths,minBeds,pgapt,plid,price,priceLabel,rawHomeStatusCd,sgapt,shouldShowZestimateAsPrice,statusText,statusType,timeOnZillow,unitCount,variableData/data/isFresh,variableData/data/isRead,variableData/text,variableData/type,visited,zpid
"217 W 57th St, New York, NY",,,,,,40.7662--73.981,Central Park Tower,false,"/b/building/40.7662,-73.981_ll/",false,false,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://photos.zillowstatic.com/fp/9025e296d2331b3a6db6639e9a669a75-p_e.jpg,,true,false,false,false,,false,,,40.7662,-73.981,,,,,1435,2,2,,1627853,"From $6,500,000",,,,,Central Park Tower,FOR_SALE,15881277000,13,,,,,,
"100 W 57th St, New York, NY",,,,,,40.7641--73.9778,Carnegie House,false,/b/carnegie-house-new-york-ny-5xB9/,false,false,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://photos.zillowstatic.com/fp/c6e0d983d10a76eb3de628b19975d9ee-p_e.jpg,,true,false,false,false,,false,,,40.7641,-73.9778,,,463792,,600,1,0,,1699941,"From $119,500",,,,,Carnegie House,FOR_SALE,1899247000,6,,,,,,
"24005 147th Ave, Rosedale, NY 11422",2304,2023-11-01 00:00:00,2,4,Listing by: SOWAE CORP,,,,/homedetails/24005-147th-Ave-Rosedale-NY-11422/32209658_zpid/,false,true,true,false,2,4,Rosedale,USA,USD,,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,false,true,false,false,,false,false,false,40.65752,true,,,,,,,,2304,-73.74367,sqft,4750,,,,,,,250000,,250000,,3750,false,NY,24005 147th Ave,840000,9740302000,,,237000,11422,32209658,https://photos.zillowstatic.com/fp/14c6bd5f014dc144c844ab94c7f06eab-p_e.jpg,,,false,false,false,true,false,false,false,40.65752,-73.74367,,,,For Sale by Agent,,,,ForSale,,"$250,000",$250K,ForSale,For Sale (Broker),false,House for sale,FOR_SALE,9740302000,,,,,,false,32209658
"123 E 35th St, New York, NY 10016",11638,,12,12,"Listing by: Christie's International Real Estate Group, LLC",,,,/homedetails/123-E-35th-St-New-York-NY-10016/31507246_zpid/,false,true,true,false,12,12,New York,USA,USD,1.70816E+12,-1,FOR_SALE,FOR_SALE,TOWNHOUSE,false,true,false,false,,false,false,false,40.747486,true,,,,,,,,11638,-73.979645,,,,,,,,,24750000,-4450000,24750000,"$4,450,000 (Feb 17)",70676,false,NY,123 E 35th St,21017000,10102740000,,,23300200,10016,31507246,https://photos.zillowstatic.com/fp/7fa51f482f28302a981ba5cc5f7e73bd-p_e.jpg,,,false,false,false,true,false,false,false,40.747486,-73.979645,,,,For Sale by Agent,,,,ForSale,,"$24,750,000",$24.8M,ForSale,For Sale (Broker),false,Townhouse for sale,FOR_SALE,10102740000,,,,"$4,450,000 (Feb 17)",PRICE_REDUCTION,false,31507246
"4 E 79th St, New York, NY 10075",15200,,10,6,Listing by: Sotheby's International Realty,,,,/homedetails/4-E-79th-St-New-York-NY-10075/31534256_zpid/,false,true,true,false,10,6,New York,USA,USD,,-1,FOR_SALE,FOR_SALE,TOWNHOUSE,false,true,false,false,,false,false,false,40.776516,true,,,,,,,,15200,-73.96334,,,,,,,,,65000000,,65000000,,252678,false,NY,4 E 79th St,26498000,15881208000,,,60801400,10075,31534256,https://photos.zillowstatic.com/fp/a5a617bf6f90fdfa089b6fc79cc6de35-p_e.jpg,,,false,false,false,true,false,false,false,40.776516,-73.96334,,,,For Sale by Agent,,,,ForSale,,"$65,000,000",$65.0M,ForSale,For Sale (Broker),false,Townhouse for sale,FOR_SALE,15881208000,,,,,,false,31534256
"67 Brewster St, Staten Island, NY 10304",2227,,3,4,Listing by: RE/MAX Edge,,,,/homedetails/67-Brewster-St-Staten-Island-NY-10304/32284423_zpid/,false,true,true,false,3,4,Staten Island,USA,USD,,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,false,true,false,false,,false,false,false,40.631916,true,,,,,,,,2227,-74.078,sqft,5000,,,,,,,748000,,748000,,3499,false,NY,67 Brewster St,679000,4998593000,,,745500,10304,32284423,https://photos.zillowstatic.com/fp/fcc12a277b848b0d5f85c97e176d5563-p_e.jpg,,,false,false,false,true,false,false,false,40.631916,-74.078,,,,For Sale by Agent,,,,ForSale,,"$748,000",$748K,ForSale,For Sale (Broker),false,House for sale,FOR_SALE,4998593000,,,,,,false,32284423
"343 E 74th St, New York, NY",,,,,,40.76977--73.95574,The Forum,false,/b/the-forum-new-york-ny-2DqG/,false,false,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://photos.zillowstatic.com/fp/7a3a7c05e26c71d86b2959f8f6e0e921-p_e.jpg,,true,false,false,false,,false,,,40.76977,-73.95574,,,25982,,550,1,0,,1690620,"From $575,000",,,,,The Forum,FOR_SALE,9210532000,5,,,,,,
"973 5th Ave, New York, NY 10075",16000,,10,10,Listing by: Modlin Group,,,,/homedetails/973-5th-Ave-New-York-NY-10075/31534257_zpid/,false,true,true,false,10,10,New York,USA,USD,1.70954E+12,-1,FOR_SALE,FOR_SALE,TOWNHOUSE,false,true,false,false,,false,false,false,40.77664,true,,,,,,,,16000,-73.9636,,,,,,,,,58000000,-7000000,58000000,"$7,000,000 (Mar 4)",253700,false,NY,973 5th Ave,34106000,15881242000,,,60991900,10075,31534257,https://photos.zillowstatic.com/fp/6f2198fe57162034b432cc2643a23e7c-p_e.jpg,,,false,false,false,true,false,false,false,40.77664,-73.9636,,,,For Sale by Agent,,,,ForSale,,"$58,000,000",$58.0M,ForSale,For Sale (Broker),false,Townhouse for sale,FOR_SALE,15881242000,,,,"$7,000,000 (Mar 4)",PRICE_REDUCTION,false,31534257
"308 Poillon Ave, Staten Island, NY 10312",2700,,4,4,"Listing by: Robert DeFalco Realty, Inc.",,,,/homedetails/308-Poillon-Ave-Staten-Island-NY-10312/2085654500_zpid/,false,true,true,false,4,4,Staten Island,USA,USD,1.7098E+12,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,false,true,false,false,,false,false,false,40.527367,,,,,,,true,,2700,-74.17542,sqft,5000,BUILDER_SPEC,,,,,,1388000,-11999,1388000,"$11,999 (Mar 7)",3251,false,NY,308 Poillon Ave,,513258000,,,1387100,10312,2085654500,https://photos.zillowstatic.com/fp/fd83ca1f8963ed908d3883c8a9b8024a-p_e.jpg,,,false,false,false,true,false,false,false,40.527367,-74.17542,NEW_CONSTRUCTION,,,New Construction,,,,ForSale,,"$1,388,000",$1.39M,ForSale,New Construction,false,New construction,FOR_SALE,513258000,,,,,,false,2085654500
"177 Benedict Rd, Staten Island, NY 10304",33000,,17,8,Listing by: Connie Profaci Realty,,,,/homedetails/177-Benedict-Rd-Staten-Island-NY-10304/32294383_zpid/,false,true,true,false,17,8,Staten Island,USA,USD,,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,false,true,false,false,,false,false,false,40.59501,true,,,,,,,,33000,-74.10643,acres,1.580968779,,,,,,,16800000,,16800000,,7447,false,NY,177 Benedict Rd,4281000,13709554000,,,,10304,32294383,https://photos.zillowstatic.com/fp/10b177f30494922bcb482467cd0a6afd-p_e.jpg,,,false,false,false,true,false,false,false,40.59501,-74.10643,,,,For Sale by Agent,,,,ForSale,,"$16,800,000",$16.8M,ForSale,For Sale (Broker),false,House for sale,FOR_SALE,13709554000,,,,,,false,32294383
"45 W 70th St, New York, NY 10023",8550,,6,5,Listing by: SERHANT.,,,,/homedetails/45-W-70th-St-New-York-NY-10023/31518799_zpid/,false,true,true,false,6,5,New York,USA,USD,,-1,FOR_SALE,FOR_SALE,TOWNHOUSE,false,true,false,false,,false,false,false,40.775833,true,,,,,,,,8550,-73.97852,,,,,,,,,14900000,,14900000,,59996,false,NY,45 W 70th St,5165000,5927764000,,,14265800,10023,31518799,https://photos.zillowstatic.com/fp/33fe5ef98421fb45c4211fe0956e9f2c-p_e.jpg,,,false,false,false,true,false,false,false,40.775833,-73.97852,,,,For Sale by Agent,,,,ForSale,,"$14,900,000",$14.9M,ForSale,For Sale (Broker),false,Townhouse for sale,FOR_SALE,5927764000,,,,,,false,31518799
"241-6 137th Ave, Rosedale, NY 11422",1676,2023-12-15 00:00:00,2,4,Listing by: SOWAE CORP,,,,/homedetails/241-6-137th-Ave-Rosedale-NY-11422/2056637647_zpid/,false,true,true,false,2,4,Rosedale,USA,USD,,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,false,true,false,false,,false,false,false,40.66903,true,,,,,,,,1676,-73.73512,sqft,4008,,,,,,,250000,,250000,,3800,false,NY,241-6 137th Ave,,5582686000,,,249400,11422,2056637647,https://photos.zillowstatic.com/fp/b640ce7e95eb165418a3319ea9fd6337-p_e.jpg,,,false,false,false,true,false,false,false,40.66903,-73.73512,,,,For Sale by Agent,,,,ForSale,,"$250,000",$250K,ForSale,For Sale (Broker),false,House for sale,FOR_SALE,5582686000,,,,,,false,2056637647
"81 Seaview Avenue, Staten Island, NY 10304",2504,,4,6,Listing by: Prime Realty,,,,/homedetails/81-Seaview-Ave-Staten-Island-NY-10304/32326209_zpid/,false,true,true,false,4,6,Staten Island,USA,USD,,-1,FOR_SALE,FOR_SALE,MULTI_FAMILY,false,true,false,false,,false,false,false,40.589966,true,,,,,,,,2504,-74.09841,sqft,2250,,,,,,,578888,,578888,,2835,false,NY,81 Seaview Avenue,672000,896353000,,,581800,10304,32326209,https://photos.zillowstatic.com/fp/edd606259084bc3428855c2f1940839f-p_e.jpg,https://photos.zillowstatic.com/fp/4e66a55bd37a412d002fb678e0dbded9-zillow_web_48_23.jpg,,false,false,false,true,false,false,false,40.589966,-74.09841,,,,For Sale by Agent,,,,ForSale,,"$578,888",$579K,ForSale,For Sale (Broker),false,Multi-family home for sale,FOR_SALE,896353000,,,,,,false,32326209
"173 E 31st St, Brooklyn, NY 11226",1976,,2,4,Listing by: Island Advantage Realty,,,,/homedetails/173-E-31st-St-Brooklyn-NY-11226/30660450_zpid/,false,true,true,false,2,4,Brooklyn,USA,USD,,-1,FOR_SALE,FOR_SALE,MULTI_FAMILY,false,true,false,false,,false,false,false,40.646435,true,,,,,,,,1976,-73.947845,,,,,,,,,250000,,250000,,3347,false,NY,173 E 31st St,858000,4200897000,,,254000,11226,30660450,https://photos.zillowstatic.com/fp/bff6c90a206b0a0b78ea5490f440f8db-p_e.jpg,,,false,false,false,true,false,false,false,40.646435,-73.947845,,,,For Sale by Agent,,,,ForSale,,"$250,000",$250K,ForSale,For Sale (Broker),false,Multi-family home for sale,FOR_SALE,4200897000,,,,,,false,30660450
"303 E 57th St, New York, NY",,,,,,40.7595--73.9646,The Excelsior,false,/b/the-excelsior-new-york-ny-5XjXdB/,false,false,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://photos.zillowstatic.com/fp/cdf5f4ed09a1de4deafa8634df2a13b2-p_e.jpg,,true,false,false,false,,false,,,40.7595,-73.9646,,,1001492241,,1100,2,1,,1698223,"From $400,000",,,,,The Excelsior,FOR_SALE,3173851000,13,,,,,,
"10 E 67th St, New York, NY 10065",13000,,13,8,Listing by: Douglas Elliman,,,,/homedetails/10-E-67th-St-New-York-NY-10065/31533539_zpid/,false,true,true,false,13,8,New York,USA,USD,,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,false,true,false,false,,false,false,false,40.76873,true,,,,,,,,13000,-73.96869,,,,,,,,,50000000,,50000000,,120160,false,NY,10 E 67th St,23364000,2835557000,,,46754900,10065,31533539,https://photos.zillowstatic.com/fp/57e0e5aa58d4e7dbc24abedd72d219b4-p_e.jpg,,,false,false,false,true,false,false,false,40.76873,-73.96869,,,,For Sale by Agent,,,,ForSale,,"$50,000,000",$50.0M,ForSale,For Sale (Broker),false,House for sale,FOR_SALE,2835557000,,,,,,false,31533539
"53 W 53rd St, New York, NY",,,,,,40.761723--73.97834,53 West 53,false,/b/53-west-53-new-york-ny-6vrT/,false,false,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://photos.zillowstatic.com/fp/e4d8804d3914f46d3d3ed8a11a686848-p_e.jpg,,true,false,false,false,,false,,,40.761723,-73.97834,,,578272,,1241,2,1,,1649124,"From $2,899,000",,,,,53 West 53,FOR_SALE,15881264000,20,,,,,,
"1338 Park Place, Crown Heights, NY 11213",1815,,2,4,Island Advantage Realty LLC,,,,/homedetails/1338-Park-Pl-Brooklyn-NY-11213/68310361_zpid/,false,true,true,false,2,4,Brooklyn,USA,USD,,-1,FOR_SALE,FOR_SALE,MULTI_FAMILY,false,true,false,false,true,false,false,false,40.672264,,,,,true,,,,1815,-73.93304,sqft,1584,,,,,,,275000,,275000,,3628,false,NY,1338 Park Place,931000,8368253000,,,277400,11213,68310361,https://photos.zillowstatic.com/fp/c0b2041cec437e6e4a0b9d8eb445e28c-p_e.jpg,https://photos.zillowstatic.com/fp/4e66a55bd37a412d002fb678e0dbded9-zillow_web_48_23.jpg,,false,false,false,true,false,false,false,40.672264,-73.93304,,,,Non Owner Occupied,,,,ForSale,,$275K,$275K,ForSale,Unknown Listed By,false,Auction,FOR_SALE,8368253000,,,,,,false,68310361
"41 Bell Ln, Freeville, NY",,,,,,40.712776--74.005974,,false,"/b/building/40.712776,-74.005974_ll/",false,false,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://photos.zillowstatic.com/fp/1ce5c66fc16a2f97767723dd244ff0d5-p_e.jpg,,true,false,false,false,,false,,,40.712776,-74.005974,,,,,1200,2,2,,,"From $69,000",,,,,For Rent,FOR_SALE,2422277000,2,,,,,,
"578 Ralph Ave, Brooklyn, NY",,,,,,40.669395--73.92284,,false,/b/578-ralph-ave-brooklyn-ny-97dT8d/,false,false,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://photos.zillowstatic.com/fp/209036db937d026e1c1063850f4bf727-p_e.jpg,,true,false,false,false,,false,,,40.669395,-73.92284,,,2009853415,,589,1,2,,1676035,"From $180,000",,,,,For Rent,FOR_SALE,2846398000,2,,,,,,
"3240 Riverdale Ave, Bronx, NY",,,,,,40.883232--73.9075,,false,/b/3240-riverdale-ave-bronx-ny-37kB/,false,false,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://photos.zillowstatic.com/fp/55fa6ef31586f66a4217d4ab178d8a1c-p_e.jpg,,true,false,false,false,,false,,,40.883232,-73.9075,,,131426,,756,1,1,,1655418,"From $115,000",,,,,For Rent,FOR_SALE,15881255000,3,,,,,,
"2760 Hone Avenue, Bronx, NY 10469",1832,,3,4,Listing by: The Sidmar Group LLC,,,,/homedetails/2760-Hone-Ave-Bronx-NY-10469/145585777_zpid/,false,true,true,false,3,4,Bronx,USA,USD,1.71031E+12,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,false,true,false,false,,false,false,false,40.867226,true,,,,,,,,1832,-73.85739,sqft,2500,,,,,,,659000,-999,659000,$999 (Mar 13),,false,NY,2760 Hone Avenue,445000,18870826000,,,,10469,145585777,https://photos.zillowstatic.com/fp/ab78b37827765c497093aa99b9f70430-p_e.jpg,https://photos.zillowstatic.com/fp/4e66a55bd37a412d002fb678e0dbded9-zillow_web_48_23.jpg,,false,false,false,true,false,false,false,40.867226,-73.85739,,,,For Sale by Agent,,,,ForSale,,"$659,000",$659K,ForSale,For Sale (Broker),false,House for sale,FOR_SALE,18870826000,,,,$999 (Mar 13),PRICE_REDUCTION,false,145585777
"131-36 132nd Street, South Ozone Park, NY 11420",,,2,3,Listing by: Affordable Realty Corp,,,,/homedetails/131-36-132nd-St-South-Ozone-Park-NY-11420/2062695224_zpid/,false,true,true,false,2,3,South Ozone Park,USA,USD,,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,false,true,false,false,,false,false,false,40.669724,true,,,,,,,,,-73.80683,sqft,2700,,,,,,,350000,,350000,,3800,false,NY,131-36 132nd Street,,5581308000,,,350900,11420,2062695224,https://photos.zillowstatic.com/fp/415738cb6697249a1b871f457753c4ae-p_e.jpg,https://photos.zillowstatic.com/fp/4e66a55bd37a412d002fb678e0dbded9-zillow_web_48_23.jpg,,false,false,false,true,false,false,false,40.669724,-73.80683,,,,For Sale by Agent,,,,ForSale,,"$350,000",$350K,ForSale,For Sale (Broker),false,House for sale,FOR_SALE,5581308000,,,,,,false,2062695224
"45 E 74th St, New York, NY 10021",9000,,9,6,Listing by: Corcoran,,,,/homedetails/45-E-74th-St-New-York-NY-10021/2060125300_zpid/,false,true,true,false,9,6,New York,USA,USD,,-1,FOR_SALE,FOR_SALE,TOWNHOUSE,false,true,false,false,,false,false,false,40.77295,true,,,,,,,,9000,-73.96353,,,,,,,,,24800000,,24800000,,46651,false,NY,45 E 74th St,,15881270000,,,,10021,2060125300,https://photos.zillowstatic.com/fp/c948b3e1a283fe9224ddc0b36175dc9e-p_e.jpg,,,false,false,false,true,false,false,false,40.77295,-73.96353,,,,For Sale by Agent,,,,ForSale,,"$24,800,000",$24.8M,ForSale,For Sale (Broker),false,Townhouse for sale,FOR_SALE,15881270000,,,,,,false,2060125300
"25 Riverside Dr, New York, NY 10023",12000,,9,8,Listing by: Douglas Elliman,,,,/homedetails/25-Riverside-Dr-New-York-NY-10023/143131834_zpid/,false,true,true,false,9,8,New York,USA,USD,,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,false,true,false,false,,false,false,false,40.782234,true,,,,,,,,12000,-73.98468,,,,,,,,,55000000,,55000000,,46301,false,NY,25 Riverside Dr,19871000,10786283000,,,,10023,143131834,https://photos.zillowstatic.com/fp/c27c0d463b2297dbc766c313d13d9cee-p_e.jpg,,,false,false,false,true,false,false,false,40.782234,-73.98468,,,,For Sale by Agent,,,,ForSale,,"$55,000,000",$55.0M,ForSale,For Sale (Broker),false,House for sale,FOR_SALE,10786283000,,,,,,false,143131834
"25 W 88th St, New York, NY 10024",8068,,8,6,Listing by: Leslie J. Garfield,,,,/homedetails/25-W-88th-St-New-York-NY-10024/83930232_zpid/,false,true,true,false,8,6,New York,USA,USD,,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,false,true,false,false,,false,false,false,40.787197,true,,,,,,,,8068,-73.96922,,,,,,,,,17995000,,17995000,,70587,false,NY,25 W 88th St,11282000,15881248000,,,16837300,10024,83930232,https://photos.zillowstatic.com/fp/bdbbae47356564dd81bb1d99533b46c1-p_e.jpg,,,false,false,false,true,false,false,false,40.787197,-73.96922,,,,For Sale by Agent,,,,ForSale,,"$17,995,000",$18.0M,ForSale,For Sale (Broker),false,House for sale,FOR_SALE,15881248000,,,,,,false,83930232
"13024 150th St, Jamaica, NY 11436",0,2023-07-13 00:00:00,2,5,Listing by: SOWAE CORP,,,,/homedetails/13024-150th-St-Jamaica-NY-11436/2085844247_zpid/,false,true,true,false,2,5,Jamaica,USA,USD,,-1,FOR_SALE,FOR_SALE,MULTI_FAMILY,false,true,false,false,,false,false,false,40.66911,true,,,,,,,,0,-73.78934,sqft,2665,,,,,,,250000,,250000,,4500,false,NY,13024 150th St,,19773542000,,,244300,11436,2085844247,https://photos.zillowstatic.com/fp/534596686fc0a98e8ecdf13c7108d869-p_e.jpg,,,false,false,false,true,false,false,false,40.66911,-73.78934,,,,For Sale by Agent,,,,ForSale,,"$250,000",$250K,ForSale,For Sale (Broker),false,Multi-family home for sale,FOR_SALE,19773542000,,,,,,false,2085844247
"18-18 25th Road, Long Island City, NY 11102",1760,,4,4,Listing by: Keller Williams Realty Greater,,,,/homedetails/1818-25th-Rd-Long-Island-City-NY-11102/31948305_zpid/,false,true,true,false,4,4,Long Island City,USA,USD,1.69744E+12,-1,FOR_SALE,FOR_SALE,MULTI_FAMILY,false,true,false,false,,false,false,false,40.774506,true,,,,,,,,1760,-73.92596,sqft,2765,,,,,,,1499000,-389888,1499000,,4402,false,NY,18-18 25th Road,1303000,20858353000,,,1385100,11102,31948305,https://photos.zillowstatic.com/fp/0e1bb2a3218a24ae810706522051f07b-p_e.jpg,https://photos.zillowstatic.com/fp/4e66a55bd37a412d002fb678e0dbded9-zillow_web_48_23.jpg,,false,false,false,true,false,false,false,40.774506,-73.92596,,,,For Sale by Agent,,,,ForSale,,"$1,499,000",$1.50M,ForSale,For Sale (Broker),false,Multi-family home for sale,FOR_SALE,20858353000,,,,,,false,31948305
"111 Murray St, New York, NY",,,,,,40.7152--74.0125,111 Murray Street,false,/b/111-murray-street-new-york-ny-65cYxd/,false,false,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://photos.zillowstatic.com/fp/bfa0e6a5696d7e6ba384fa76464d276c-p_e.jpg,,true,false,false,false,,false,,,40.7152,-74.0125,,,1150791981,,791,1,1,,1341246,"From $2,250,000",,,,,111 Murray Street,FOR_SALE,15881287000,12,,,,,,
"57 Locust Ave, Staten Island, NY 10306",2050,,2,4,"Listing by: Robert DeFalco Realty, Inc.",,,,/homedetails/57-Locust-Ave-Staten-Island-NY-10306/32330531_zpid/,false,true,true,false,2,4,Staten Island,USA,USD,1.7098E+12,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,false,true,false,false,,false,false,false,40.57708,true,,,,,,,,2050,-74.116,sqft,4890,,,,,,,899000,-29000,899000,"$29,000 (Mar 7)",3499,false,NY,57 Locust Ave,848000,1710470000,,,870400,10306,32330531,https://photos.zillowstatic.com/fp/800eb02f36c53af12b088d86ae4b77f3-p_e.jpg,,,false,false,false,true,false,false,false,40.57708,-74.116,,,,For Sale by Agent,,,,ForSale,,"$899,000",$899K,ForSale,For Sale (Broker),false,House for sale,FOR_SALE,1710470000,,,,"$29,000 (Mar 7)",PRICE_REDUCTION,false,32330531
"1056 Arden Ave, Staten Island, NY 10312",980,,2,3,"Listing by: Robert DeFalco Realty, Inc.",,,,/homedetails/1056-Arden-Ave-Staten-Island-NY-10312/32364311_zpid/,false,true,true,false,2,3,Staten Island,USA,USD,1.70971E+12,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,false,true,false,false,,false,false,false,40.543373,true,,,,,,,,980,-74.17486,sqft,4200,,,,,,,599999,-49001,599999,"$49,001 (Mar 6)",2870,false,NY,1056 Arden Ave,608000,1291466000,,,596400,10312,32364311,https://photos.zillowstatic.com/fp/06ab125f7e5067e23ebc4e054560bb6b-p_e.jpg,,,false,false,false,true,false,false,false,40.543373,-74.17486,,,,For Sale by Agent,,,,ForSale,,"$599,999",$600K,ForSale,For Sale (Broker),false,House for sale,FOR_SALE,1291466000,,,,"$49,001 (Mar 6)",PRICE_REDUCTION,false,32364311
"51-16 Bell Boulevard, Bayside, NY 11364",,,2,4,Listing by: Keller Williams Realty Elite,,,,/homedetails/5116-Bell-Blvd-Bayside-Hills-NY-11364/32083589_zpid/,false,true,true,false,2,4,Bayside Hills,USA,USD,,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,false,true,false,false,,false,false,false,40.7527,true,,,,,,,,,-73.76539,sqft,4000,,,,,,,950000,,950000,,3235,false,NY,51-16 Bell Boulevard,1014000,315769000,,,957100,11364,32083589,https://photos.zillowstatic.com/fp/8130cfc5950af2e42e288a4f1805e3b4-p_e.jpg,https://photos.zillowstatic.com/fp/4e66a55bd37a412d002fb678e0dbded9-zillow_web_48_23.jpg,,false,false,false,true,false,false,false,40.7527,-73.76539,,,,For Sale by Agent,,,,ForSale,,"$950,000",$950K,ForSale,For Sale (Broker),false,House for sale,FOR_SALE,315769000,,,,,,false,32083589
"56-30 215th Street, Bayside, NY 11364",1396,,2,3,Listing by: P R O Links Realty Inc,,,,/homedetails/56-30-215th-Street-Bayside-NY-11364/2085679123_zpid/,false,true,true,false,2,3,Bayside,USA,USD,,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,false,true,false,false,,false,false,false,40.74987,,,,true,,,,true,1396,-73.763885,sqft,4000,,Sat. 1-4pm,1.71063E+12,1.71062E+12,,,1198000,,1198000,,3200,false,NY,56-30 215th Street,,208753000,,,1079400,11364,2085679123,https://photos.zillowstatic.com/fp/40719667e8950733dcfbd0cb4328cb8e-p_e.jpg,https://photos.zillowstatic.com/fp/4e66a55bd37a412d002fb678e0dbded9-zillow_web_48_23.jpg,,false,false,false,true,false,false,false,40.74987,-73.763885,,,,Coming Soon,,,,ComingSoon,,"$1,198,000",$1.20M,ComingSoon,Coming Soon,false,Coming soon,FOR_SALE,208753000,,,,Open: Sat. 1-4pm,OPEN_HOUSE,false,2085679123
